longitude,latitude,index,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,LAI
-88.16111114,31.85381082,183,0.0286,0.0427,0.0236,0.0727,0.2453,0.3226,0.3068,0.3463,0.137,0.0565,5.923186746
-88.16111114,31.85381082,184,0.0267,0.0456,0.0241,0.0711,0.2393,0.3039,0.2967,0.3346,0.1332,0.0531,5.711338177
-88.16111114,31.85381082,185,0.0181,0.0389,0.0208,0.0644,0.2125,0.2673,0.2632,0.2927,0.1221,0.0524,5.072601894
-88.16111114,31.85381082,186,0.0179,0.0325,0.0189,0.0542,0.1855,0.2358,0.2264,0.2633,0.1112,0.045,5.399850327
-88.16111114,31.85381082,187,0.0113,0.0288,0.0217,0.0536,0.1177,0.1387,0.1595,0.1587,0.1057,0.0511,3.841111998
-88.16111114,31.85381082,188,0.0137,0.0279,0.038,0.0629,0.1054,0.1252,0.1373,0.1421,0.1136,0.0581,3.227506007
-105.5824988,40.05435138,189,0.0415,0.0605,0.0626,0.1007,0.178,0.201,0.2093,0.2226,0.2263,0.158,3.61
-105.5824988,40.05435138,190,0.0465,0.0677,0.0721,0.1103,0.1801,0.1964,0.2024,0.2222,0.2347,0.1617,3.644
-105.5824988,40.05435138,191,0.0444,0.0612,0.0684,0.1051,0.1774,0.2038,0.205,0.2219,0.2332,0.1607,3.644
-84.28254507,35.96414223,192,0.0377,0.0696,0.037,0.109,0.2889,0.3108,0.3298,0.342,0.1735,0.0793,3.13
-84.28254507,35.96414223,193,0.06,0.0896,0.052,0.1204,0.388,0.476,0.462,0.5214,0.2218,0.0902,5.22
-84.28254507,35.96414223,194,0.0364,0.0556,0.0262,0.0854,0.2701,0.3402,0.2994,0.3599,0.1665,0.0676,4.95
-84.28254507,35.96414223,195,0.0308,0.0503,0.0248,0.0863,0.2509,0.3188,0.2733,0.3315,0.1638,0.0674,4.97
-84.28254507,35.96414223,196,0.0498,0.0716,0.0417,0.1024,0.3663,0.4596,0.4551,0.4795,0.2016,0.0829,4.79
-84.28254507,35.96414223,197,0.0396,0.0598,0.0318,0.0969,0.3529,0.4469,0.4146,0.4634,0.1853,0.0767,5.173
-84.28254507,35.96414223,198,0.0365,0.0604,0.0314,0.0915,0.32,0.4115,0.3527,0.4292,0.1888,0.0763,4.6
-84.28254507,35.96414223,199,0.0421,0.0629,0.0296,0.0919,0.3117,0.3859,0.3718,0.4165,0.1856,0.0752,4.666
